ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
"1,7007,PLATANAL,INVIAS,7900,8900,18800,23800,27300,0,0,0,0,Aguaclara - RIo de Oro,ConcesiOn ruta el sol,8400,8100,""AutomOviles, camperos y camionetas"",""Buses, busetas y camiones de 2 ejes"",Camiones 3 y 4 ejes,5 ejes,6 Ejes,,,,,8.23123833,-73.4985723359999,Cesar,20"
2,2506,LA URIBE,Departamento,8400,10800,25300,34300,38000,0,0,0,0,AndalucIa - La Paila -La Victoria,PISA Proyectos de Infraestructura S.A.,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.252468251,-76.118437533,Valle del Cauca,76
3,2901,CIRCASIA,ConcesiOn ANI,13800,17600,17600,17600,42900,52600,58600,0,0,Armenia-Pereira,ConcesiOn Autopistas del cafE,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.698355839,-75.606108715,QuindIo,63
4,X1,EL ESCOBAL,ConcesiOn ANI,2000,2000,2000,2000,2000,0,0,0,0,Avenida Demetrio  Mendoza,Concesionaria San SimOn S.A,2000,0,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,7.91059804,-72.4694500229999,Norte de Santander,54
5,6209,ARCABUCO,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,Barbosa - Tunja,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.795024657,-73.4776199389999,BoyacA,15
6,6511,SAN PEDRO,ConcesiOn ANI,8400,9100,19400,24700,27600,0,0,0,0,Barranca de UpIa - Monterrey,ConcesiOnaria Vial del Oriente - COVIORIENTE S.A.S,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,4.678585529,-72.9437706989999,Casanare,85
7,9007,LAUREANO GOMEZ,Departamento,10100,1200,28100,37200,42100,0,0,0,0,Barranquilla - Santa Marta,ConcesiOn (Barranquilla -CiEnaga),15900,0,AutomOviles y camperos,Buses y Busetas 2 ejes dobles,Camiones de 3.5 Ton.,Camiones de 5 Ton.,3 Ejes,,,,,10.978719174,-74.7297189789999,Magdalena,47
8,9007,TASAJERA,Departamento,10100,12000,28100,37200,42100,0,0,0,0,Barranquilla - Santa Marta,ConcesiOn (Barranquilla -CiEnaga),15900,0,AutomOviles y camperos,Buses y Busetas 2 Ejes Dobles,Camiones de 3.5 Ton.,Camiones de 5 Ton.,3 Ejes,,,,,10.977188152,-74.3366643319999,Magdalena,47
"9,5501,ANDES,ConcesiOn ANI,8700,15000,9600,21800,33100,42700,47300,0,0,BogotA - ChocontA,CONCESION ACCENORTE,0,0,""AutomOviles, camperos y camionetas"",CategorIa II Buses,CategorIa III Camiones pequenos de 2 ejes,CategorIa IV Camiones grandes de 2 ejes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Camiones de 5 ejes,CategorIa VII Camiones de 6 ejes o mAs,,,4.830120102,-74.0330734319999,Cundinamarca,25"
10,5501,EL ROBLE,ConcesiOn ANI,8000,8900,23000,28500,33500,0,0,0,0,BogotA - ChocontA,CONCESION BRICEnO – TUNJA – SOGAMOSO,8200,6800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.031298851,-73.8398406019999,Cundinamarca,25
11,45A04,CASABLANCA,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,BogotA - UbatE,INVIAS,9500,9300,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,5.104394194,-73.9128277439999,Cundinamarca,25
"12,45A04,FUSCA,ConcesiOn ANI,8700,15000,9600,21800,33100,42700,47300,0,0,BogotA - UbatE,CONCESION ACCENORTE,0,0,""AutomOviles, camperos y camionetas"",CategorIa II Buses,CategorIa III Camiones pequenos de 2 ejes,CategorIa IV Camiones grandes de 2 ejes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Camiones de 5 ejes,CategorIa VII Camiones de 6 ejes o mAs,,,4.835449673,-74.028809752,Cundinamarca,25"
"13,45A04,UNISABANA,ConcesiOn ANI,0,0,0,0,33100,42700,47300,0,0,BogotA - UbatE,CONCESION  ACCENORTE,0,0,""AutomOviles, camperos y camionetas"",CategorIa II Buses,CategorIa III Camiones pequenos de 2 ejes,CategorIa IV Camiones grandes de 2 ejes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Camiones de 5 ejes,CategorIa VII Camiones de 6 ejes o mAs,,,4.855379831,-74.031469872,Cundinamarca,25"
14,4006,EL BOQUERON I,ConcesiOn ANI,11900,35300,17800,47100,52900,58800,70500,0,0,BogotA (El Portal) - Villavicencio,CONCESION COVIANDES,0,0,AutomOviles y camperos,CategorIa II  Camiones y buses 2 ejes pequenos,CategorIa III  Camiones y buses 2 ejes grandes,CategorIa IV  3 y 4 Ejes,CategorIa V  5 Ejes,CategorIa VI  6 Ejes,CategorIa VII,,,4.452540053,-74.0733797529999,Cundinamarca,25
15,4006,PIPIRAL,ConcesiOn ANI,16600,33000,22500,39400,43000,65800,85100,0,0,BogotA (El Portal) - Villavicencio,ConcesiOn Coviandes S.A.,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.200062781,-73.72128811,Meta,50
