No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje, 2016Ene , 2016Feb , 2016Mar , 2016Abr , 2016May , 2016Jun , 2016Jul , 2016Ago , 2016Sep , 2016Oct , 2016Nov , 2016Dic , 2017Ene , 2017Feb , 2017Mar , 2017Abr , 2017May , 2017Jun , 2017Jul , 2017Ago , 2017Sep , 2017Oct , 2017Nov , 2017Dic , 2018Ene , 2018Feb , 2018Mar , 2018Abr , 2018May , 2018Jun , 2018Jul , 2018Ago , 2018Sept , 2018Oct , 2018Nov , 2018Dic 
1,APM,ARMENIA-PEREIRA-MANIZALES,CIRCASIA," 272,350 "," 191,931 "," 237,172 "," 196,234 "," 216,590 "," 219,414 "," 237,731 "," 230,308 "," 207,972 "," 233,360 "," 224,161 "," 269,845 "," 9,060 "," 7,007 "," 7,006 "," 7,992 "," 7,020 "," 7,778 "," 7,940 "," 7,737 "," 7,250 "," 7,766 "," 7,780 "," 9,293 "," 289,888 "," 203,841 "," 254,102 "," 219,547 "," 222,486 "," 199,905 "," 256,688 "," 247,892 "," 230,464 "," 247,173 "," 240,944 "," 300,383 "
2,APM,ARMENIA-PEREIRA-MANIZALES,COROZAL,229713,159011,201959,163674,181470,174883,186880,204749,179382,193508,186849,220990,7367.93548387097,5706.60714285714,5538.32258064516,6537.93333333333,5074,6312.46666666667,6553.29032258064,6256.16129032258,5940.6,6271.45161290323,6095.16666666667,7090.64516129032,226678,159986,198039,175620,171792,159998,204259,195559,182830,201643,190100,224507
3,APM,ARMENIA-PEREIRA-MANIZALES,PAVAS,128523,88179,103801,90936,97476,97013,105797,101695,95892,108653,104341,122900,4303.67741935484,3197.57142857143,3304.48387096774,3598.36666666667,4192.22580645161,3555.13333333333,3556.45161290323,3550.74193548387,3415.13333333333,3651.32258064516,4176.83333333333,4307.41935483871,140770,102959,117668,107033,109986,93357,118587,118063,104595,114612,109240,128892
4,APM,ARMENIA-PEREIRA-MANIZALES,SAN BERNARDO,111341,80790,98452,82138,93916,90960,102911,98189,89227,99515,95606,122625,3754.77419354839,2973.57142857143,2925.83870967742,2908.03333333333,2680.77419354839,3168.36666666667,3320,3132.51612903226,3214.16666666667,3056.54838709677,3497.63333333333,3906.22580645161,98673,53077,79091,67491,61570,58360,71016,69836,66403,73853,76567,100459
5,APM,ARMENIA-PEREIRA-MANIZALES,SANTAGUEDA,138482,89924,120544,88754,101169,93851,101415,116768,94668,106737,100826,125486,4413.16129032258,3076.78571428571,3037.93548387097,3620.13333333333,2835.35483870968,3504.2,3443.35483870968,3435.45161290323,3101.73333333333,3339.06451612903,3273.56666666667,4001.58064516129,91233,12290,59931,70013,58064,57158,73155,72017,62237,70119,67190,93636
6,APM,ARMENIA-PEREIRA-MANIZALES,TARAPACA I,102351,79860,87081,80870,83168,72835,80616,151346,165040,99615,93678,101941,3541.16129032258,3039.21428571429,2901.74193548387,2954.6,2742.93548387097,2946.8,2950.74193548387,2940.93548387097,2832.06666666667,2873.74193548387,2801.5,3383.41935483871,96067,59858,69606,72441,71817,60035,73961,73372,69485,74292,69941,80484
7,APM,ARMENIA-PEREIRA-MANIZALES,TARAPACA II,290506,202772,252465,210482,233791,231486,242645,185606,138327,234563,227970,278000,9326.1935483871,6943.35714285714,7103.09677419355,8004.86666666667,7244.41935483871,8055.4,8071.61290322581,7875.22580645161,7341.83333333333,7879.96774193548,8081.23333333333,9473.03225806452,276101,170038,240857,223729,221877,201231,252421,247129,221736,241749,234737,290338
8,SV,BOGOTA - SIBERIA - LA PUNTA - EL VINO - VILLETA,CAIQUERO,275069,142564,208017,143959,175161,184340,211533,186802,159077,200521,191994,258301,9247.38709677419,5304.53571428571,5521.90322580645,7096.6,5482.45161290323,6913.1,6856.58064516129,6578.67741935484,5510.33333333333,6713.96774193548,6530.13333333333,9125.90322580645,297080,153451,219167,176086,176462,214556,226198,207882,173691,208560,203104,282390
9,SV,BOGOTA - SIBERIA - LA PUNTA - EL VINO - VILLETA,SIBERIA,593082,434027,521217,453812,506815,504687,549385,509549,457250,517612,489411,577447,18577.5483870968,14894.5,15244.2903225806,17252.1333333333,15689.4193548387,17214.5666666667,17110.5806451613,16980.2258064516,15719.8,17218.7741935484,17231.1333333333,20120.8709677419,601053,440175,539342,480563,492264,532519,558465,543760,498169,537613,525803,636909
10,BV,BOGOTA - VILLAVICENCIO,BOQUERON I Y BOQUERON II,438592,313211,374909,304595,340728,336393,356542,343649,317735,370791,351529,416282,13723.7096774194,10484.8214285714,10883.935483871,12163.7,10613.5161290323,11178.6666666667,10925.5161290323,11457.9677419355,10462.7,11834.7419354839,11570.7,13943.6774193548,424730,267356,362131,319917,309874,347000,341511,299331,283197,348864,344823,419129
