No.,Estacion de Peaje,I,IE,II,IIE,IIEE,III,IIIE,IV,IVE,V,VB,VE,VI,VII,E. GRUA,E. REMOL.,E. ADIC.,E. CANERO,FOSEVI
1,ARCABUCO,8300,0,9000,0,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,0,300
2,BICENTENARIO,9000,4300,11600,5500,0,27200,0,32900,0,38300,0,0,0,0,6400,8400,8700,0,300
3,CAJAMARCA,8500,0,9300,0,0,19500,0,24800,0,27900,0,0,0,0,6400,8400,8700,0,300
4,CANO,10000,0,10700,0,0,0,0,0,0,0,0,0,0,0,6500,9400,0,0,300
5,CARIMAGUA,12000,0,17400,0,0,17400,0,17400,0,31600,0,0,50200,57900,0,0,0,0,300
6,DAZA,0,0,0,0,0,22200,0,29100,0,33600,0,0,0,0,6500,9400,9700,0,300
7,EL CRUCERO,8300,2100,9000,2300,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,0,300
8,EL BORDO,8500,0,9300,0,0,19500,0,24800,0,27900,0,0,0,0,6400,8400,8700,0,300
9,LOS LLANOS,8500,4300,9300,4600,0,19500,0,24800,0,27900,0,0,0,0,6400,8400,8700,0,300
10,RIO BLANCO,8500,0,9300,0,0,19500,0,24800,0,27900,0,0,0,0,6400,8400,8700,0,300
11,RIO FRIO,8300,0,9000,0,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,6700,300
12,SACHICA,8300,0,9000,0,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,0,300
13,SAN CLEMENTE,8300,0,9000,0,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,0,300
14,TARAZA,8500,5600,9300,0,0,19500,0,24800,0,27900,0,0,0,0,6400,8400,8700,0,300
15,TORO,8300,2400,9000,0,0,19200,0,24400,0,27400,0,0,0,0,6400,8400,8700,6700,300
16,CASABLANCA,8200,0,8900,0,0,22900,0,28500,0,33300,0,0,0,0,6700,9600,9800,0,300
17,SABOYa,8200,2200,8900,2200,0,22900,0,28500,0,33300,0,0,0,0,6700,9600,9800,0,300
18,OIBA,8200,800,8900,800,0,22900,0,28500,0,33300,0,0,0,0,6700,9600,9800,0,300
19,CURITI,8200,6200,8900,0,0,22900,0,28500,0,33300,0,0,0,0,6700,9600,9800,0,300
20,LOS CUROS,8200,0,8900,0,0,22900,0,28500,0,33300,0,0,0,0,6700,9600,9800,0,300
21,AGUAS NEGRAS ,10500,0,13300,0,0,31200,0,37400,0,43900,0,0,0,0,7000,9600,9800,0,200
22,GAMARRA,7900,200,8900,200,4500,18800,9500,23800,12100,27300,0,13800,0,0,6400,8400,8700,0,200
23,LA GOMEZ,10500,0,13300,0,0,31200,0,37400,0,43900,0,0,0,0,7000,9600,9800,0,200
24,MORRISON ,9400,0,10300,0,0,21400,0,27400,0,31200,0,0,0,0,7000,9600,9800,0,200
25,PAILITAS ,9400,4600,10300,200,5300,21400,10800,27400,13800,31200,0,15700,0,0,7000,9600,9800,0,200
26,PLATANAL,7900,200,8900,200,4500,18800,9500,23800,12100,27300,0,13800,0,0,6400,8400,8700,0,200
27,ZAMBITO ,10500,0,13300,0,0,31200,0,37400,0,43900,0,0,0,0,7000,9600,9800,0,200
28,SAN DIEGO,4600,3200,5000,0,0,5500,0,5900,0,12300,26700,0,35600,40500,0,0,0,0,200
29,RINCoN HONDO,9300,0,9900,0,0,10800,0,11500,0,12400,26700,0,35600,40800,0,0,0,0,200
30,SAN JUAN,9300,3000,9900,0,0,10800,0,11500,0,12400,26700,0,35600,40800,0,0,0,0,200
31,COCORNA,12100,1000,19100,1000,0,16700,1000,20800,1000,41600,0,0,59300,59300,0,0,0,0,200
32,PUERTO TRIUNFO,12100,0,19100,0,0,16700,0,20800,0,41600,0,0,59300,59300,0,0,0,0,200
33,CENCAR,8600,4400,10300,0,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
34,CERRITO,8600,0,10300,0,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
35,CIAT,8700,4500,10400,7700,0,28100,0,36400,0,41900,0,0,0,0,6400,20400,10300,6400,200
36,ESTAMBUL,8700,4500,10400,7700,0,28100,0,36400,0,41900,0,0,0,0,6400,20400,10300,6400,200
37,MEDIACANOA,8600,0,10300,0,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
38,PASO DE LA TORRE,8600,0,10300,0,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
39,ROZO,8600,4400,10300,0,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
40,VILLARICA,8600,4400,10300,5300,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
41,TUNIA,8600,4400,10300,5300,0,27800,0,36300,0,41800,0,0,0,0,6400,20400,10300,6400,200
